date,Unnamed: 0,PSY,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2016-08-30,40,0.1,16.24,16.49,16.45,16.24,363969.94,0.22,1.36,16.352,16.413,16.226,246244.82,268129.45,292740.59,16.352000000000004,16.412999999999997,16.225500000000004,16.356703510199598,16.2455428700143,16.112035392799612,16.37112138944994,16.33878162646465,0.03234105615105065,0.07780738244502787,-0.04546632629397722,0.19905947398064505,-,767412.51,0.7099999999999991,0.679,16.522619385893687,16.375432429948006,16.228245474002325,59.42538269429507,59.70664103468274,57.54623200888758,30.275075624552887,24.3456457851985,42.133935303261666
2016-08-31,41,0.2,16.35,16.56,16.48,16.32,220034.38,0.08,0.49,16.368,16.395,16.266,256080.85,253686.29,298450.31,16.368000000000006,16.394999999999996,16.266000000000005,16.379121053799672,16.26787212048913,16.135775044877057,16.402229563892814,16.360507530085474,0.041722957497171365,0.07059049745545656,-0.0288675399582852,0.18760176178962418,-,987446.89,0.5999999999999996,0.6530000000000001,16.55426972969671,16.37565282120211,16.19703591270751,60.41578565811149,61.89934943584148,58.05638167618249,52.14568040655016,33.50416414365312,89.42871293234425
2016-09-01,42,0.2,16.48,16.55,16.43,16.38,212720.47,-0.05,-0.3,16.386,16.394000000000002,16.308,249125.11,237848.2,301281.09,16.386000000000006,16.394000000000002,16.307500000000005,16.38837177129064,16.28331287091874,16.15475730004628,16.41016397420915,16.371198679303095,0.03896595468451025,0.0642655889012673,-0.025299634216757044,0.17648640579506214,-,774726.42,0.6999999999999993,0.65,16.56866232882364,16.386849237984606,16.205036147145574,57.84842801768997,55.823658184133194,56.86793157196715,69.95772946859923,50.79282849990076,108.28753140599618
2016-09-02,43,0.3,16.38,16.5,16.48,16.35,231470.02,0.07,0.43,16.414,16.399,16.346,266043.01,241067.9,304030.33,16.41400000000001,16.398999999999994,16.345500000000005,16.405031449237796,16.302044978450287,16.175740700043296,16.430117124435107,16.387937344025698,0.04218025167973494,0.059848521456960825,-0.017668269777225888,0.16677142584025084,-,1006196.4400000001,0.7900000000000009,0.6570000000000003,16.594078454909237,16.4062061578543,16.218333860799362,59.7159167476404,60.47868554709004,57.769991849096655,79.86111111111141,67.32150699542026,104.9403193424937
2016-09-05,44,0.4,16.49,16.58,16.5,16.42,256770.34,0.02,0.12,16.468,16.407,16.384,256993.03,246976.3,310304.17,16.468000000000007,16.406999999999993,16.384000000000004,16.42229845846729,16.320897837645497,16.196660654879214,16.450083660310792,16.40517775263713,0.04490624429532275,0.05686006602463321,-0.011953821729310463,0.15835972577296076,-,1262966.78,0.6999999999999993,0.6609999999999999,16.479919766892387,16.430281072302378,16.38064237771237,60.47994653290607,62.38141141720703,58.135439526658715,80.08333333333363,76.63405797101476,86.98188405797137
2016-09-06,45,0.4,16.49,16.53,16.42,16.37,202826.47,-0.07,-0.42,16.462,16.407,16.416,224764.34,235504.58,312705.05,16.462000000000007,16.406999999999993,16.416000000000004,16.421880556927782,16.330336138822116,16.211069644887008,16.441488328793422,16.407458098385263,0.034030470852204786,0.052294146990147526,-0.01826367613794274,0.14888645344226514,-,1060140.31,0.6700000000000017,0.659,16.507168153697872,16.444686156285798,16.382204158873723,55.857156379619475,50.671582551272486,56.10879139812894,78.4444444444449,79.46296296296332,76.40740740740804
2016-09-07,46,0.5,16.41,16.5,16.48,16.35,179755.58,0.07,0.43,16.462,16.415,16.449,216708.58,236394.71,312443.06,16.462000000000007,16.414999999999992,16.448500000000006,16.43244772839546,16.344589839886677,16.228419990378168,16.452491663423874,16.418618390941376,0.03387344422824512,0.04861000643776704,-0.014736562209521922,0.14018463043705687,-,1239895.8900000001,0.8100000000000005,0.6750000000000002,16.518563722678774,16.4560817252667,16.393599727854625,58.45527228830478,57.80080305127294,57.27444568899991,77.3333333333338,78.62037037037076,74.75925925925986
2016-09-08,47,0.6,16.47,16.61,16.6,16.43,244069.0,0.12,0.73,16.496,16.441,16.476,222978.28,236051.7,298301.8,16.496000000000002,16.440999999999992,16.475500000000007,16.462911777778103,16.36891461704033,16.252392894224737,16.494636902445624,16.446523253873472,0.04811377124768512,0.04851075939975066,-0.00039698815206553467,0.13468605911732823,-,1483964.8900000001,1.0000000000000018,0.7250000000000003,16.59674511404833,16.479715203335957,16.362685292623585,63.18312265562501,68.66849580419449,59.518151748060355,82.03773584905709,79.27183787561192,87.56953179594743
2016-09-09,48,0.6,16.62,16.66,16.55,16.5,187394.7,-0.05,-0.3,16.51,16.462,16.486,214163.22,240103.11,284175.72,16.51,16.461999999999993,16.48550000000001,16.478746000000267,16.38616084398887,16.271593352661853,16.510454930318303,16.462442753277553,0.04801226466613073,0.04841106045302667,-0.0003987957868959377,0.12985136153922383,-,1296570.1900000002,0.8300000000000001,0.7350000000000003,16.627782126034138,16.505144448293606,16.382506770553075,60.07553918583114,60.83498295146171,58.18954821139839,83.97424378556487,81.1151043226519,89.69252271139081
2016-09-12,49,0.6,16.38,16.47,16.4,16.26,365091.78,-0.16,-0.97,16.49,16.479,16.459,235827.51,246410.27,263763.38,16.490000000000002,16.478999999999992,16.458500000000008,16.464428545454766,16.38747885884707,16.27987765249012,16.478896378798787,16.452836175850237,0.026060265538109917,0.04394090147004332,-0.017880635931933404,0.12188711207290481,-,931478.4100000001,0.6699999999999982,0.748,16.66116417286454,16.509374845171095,16.35758551747765,51.74620912989653,43.12463889024709,54.38887357479232,68.97424378556452,78.32874114006215,50.26524907656929
