date,close,open,high,low,volume,MA_5,EMA10,MA_10,MA_20,MA_30,MA_60,EMA20,EMA30,KValue,DValue,JValue,PSY,EMA12,EMA26,DIFF,DEA,MACD,RSI12,RSI6,RSI24,UPPER,MID,LOWER,MOM25,MOM25_MA_10,OBV,TRIX12,TRIX20
2018-07-25,8.28,7.93,8.4,7.87,325777.97,7.836,8.199119016779486,8.199119016779486,9.322137443778942,10.423309358836748,12.422438108255651,9.322137443778942,10.423309358836748,16.421022552476618,10.876038795086886,-0.21392871969256788,50.0,7.996798174535764,8.38335072226291,-0.3865516355418155,-0.7367698541965271,0.3502182186547116,33.749966950722914,49.797617637139126,32.2342294235474,8.219865839076137,7.714914356258205,7.209962873440274,-9.28,-9.198,-2236799.38,-2.6423630763925177,-
2018-07-26,9.11,8.54,9.11,8.41,635016.19,8.144,8.364733741001398,8.364733741001398,9.301933877704757,10.338579722782763,12.313833580116118,9.301933877704757,10.338579722782763,34.166721587690944,18.639599725954906,-12.414643997517176,58.33333333333334,8.314855838954117,8.495142918837846,-0.18028642832277875,-0.6254731690217774,0.44518674069899866,44.51293256126678,67.06043090089418,37.653824799453204,8.988560099552082,7.931500025573296,6.8744399515945105,-6.690000000000001,-9.019,-1601783.19,-2.5099010788439347,-
2018-07-27,8.79,9.11,9.51,8.76,547844.75,8.352,8.442054879001143,8.442054879001143,9.253178270304304,10.238671353570973,12.198298052899196,9.253178270304304,10.238671353570973,44.28848762660511,27.189229026171642,-7.0092881746953,58.33333333333334,8.450611313538655,8.540505546708946,-0.08989376776961322,-0.5183572887713446,0.42846352100173135,41.665932931569664,57.85614920032515,36.48009603738349,9.25960552014183,8.185369047106224,7.111132574070617,-5.4300000000000015,-8.733,-2149627.94,-2.3537733838469355,-
2018-07-30,8.22,8.64,8.72,8.08,293510.53,8.466000000000001,8.401681264637299,8.401681264637299,9.154780339799132,10.108434492050264,12.067862051164793,9.154780339799132,10.108434492050264,41.676725741217865,32.018394597853714,12.701732311125411,50.0,8.384722366813325,8.491197001061416,-0.10647430181903417,-0.43598069138088247,0.3295063895618483,37.05997691621717,44.73254104462694,34.482247772859616,9.199484911124646,8.349957983946933,7.500431056769219,-7.129999999999999,-8.610000000000001,-2443138.4699999997,-2.202575629839265,-
2018-07-31,8.3,8.26,8.5,8.2,197189.23,8.540000000000001,8.38319376197597,8.38319376197597,9.073372688389693,9.991761299014764,11.944325590470868,9.073372688389693,9.991761299014764,41.249180050795495,35.09532308216764,22.78760914491193,50.0,8.360515976295233,8.461782077821198,-0.10126586407663929,-0.3690377259200338,0.2677718618433945,38.107539827603624,46.76624263606408,35.00355609835821,9.131061273382281,8.429634156712261,7.728207040042241,-5.75,-8.397000000000002,-2245949.2399999998,-2.053340806688575,-
2018-08-01,7.98,8.2,8.29,7.9,189384.72,8.48,8.309885805253066,8.309885805253066,8.969241956162099,9.861970247465429,11.814347702258706,8.969241956162099,9.861970247465429,35.45965237217213,35.2167661788358,34.730993792163126,50.0,8.251797125925167,8.387661758156398,-0.13586446262456953,-0.322403073260941,0.18653861063637145,35.52727841433142,39.74599623507409,33.87842712683412,9.234620414661673,8.4134018079558,7.592183201249928,-4.699999999999999,-7.923000000000002,-2435333.96,-1.91864290170507,-
2018-08-02,7.68,7.92,8.09,7.28,181797.59,8.193999999999999,8.195361113388872,8.195361113388872,8.846457007956186,9.7211979734354,11.678795318578095,8.846457007956186,9.7211979734354,29.61884149176198,33.350791283144524,40.8146908659096,41.66666666666667,8.088426518517977,8.278790718440028,-0.1903640787744365,-0.2959952743636401,0.10563119558920359,33.22638884106019,34.00355314662362,32.84561294440007,9.039826879572699,8.303826879572775,7.56782687957285,-3.7300000000000004,-7.234000000000002,-2617131.55,-1.8059202156098908,-
2018-08-03,7.48,7.67,7.77,7.43,118475.5,7.932000000000002,8.065295456409078,8.065295456409078,8.716318245293692,9.576604555794408,11.541129898296845,8.716318245293692,9.576604555794408,22.73543094966494,29.812337838651327,43.96615161662411,41.66666666666667,7.914590370369984,8.155899838680025,-0.24130938177603056,-0.2850580958461182,0.043748714070087624,31.731786487273382,30.48052769185887,32.163502904648304,8.751527180662302,8.126399993603634,7.501272806544966,-3.3200000000000003,-6.578000000000003,-2735607.05,-1.7156987896940867,-
2018-08-06,7.78,7.54,7.78,7.45,178401.92,7.8439999999999985,8.01342355524379,8.01342355524379,8.627145079075246,9.460694584452831,11.417814163926456,8.627145079075246,9.460694584452831,22.630795521002337,27.418490399435,36.99388015630033,50.0,7.876135978835703,8.098069094267712,-0.22193305362200189,-0.2724330874012949,0.05050003377929302,36.41231959312491,41.40763088396383,34.299117778867625,8.52488207400357,7.966369764381042,7.407857454758515,-2.6499999999999995,-5.850000000000003,-2557205.13,-1.6286102596954177,-
2018-08-07,8.01,7.75,8.12,7.57,198072.14,7.786,8.01280109065401,8.01280109065401,8.568369357258558,9.367101385455877,11.306082551994445,8.568369357258558,9.367101385455877,25.99900568365776,26.94532882750925,28.83797511521223,50.0,7.914382842025502,8.084520002841911,-0.1701371166664032,-0.25197389325431657,0.08183677658791338,39.86081358737127,48.81001187138433,35.91317260408497,8.268937239516127,7.876284721378514,7.483632203240902,-2.380000000000001,-5.106000000000003,-2359132.9899999998,-1.5345851473715477,-
2018-08-08,7.81,7.89,8.1,7.78,164678.31,7.7520000000000024,7.975928165080553,7.975928165080553,8.496143704186313,9.2666432315555,11.191456894552005,8.496143704186313,9.2666432315555,25.25494250360441,26.38186671954097,28.63571515141409,50.0,7.884559172875358,8.042286156250848,-0.1577269518397708,-0.2331245049714074,0.0753975531316366,37.91049027192418,43.12486684423372,35.13008235807714,8.170417139672002,7.824145569946996,7.477874000221989,-2.2600000000000007,-4.4040000000000035,-2523811.3,-1.4443439649999834,-
2018-08-09,7.86,7.61,7.99,7.53,157428.52,7.788000000000001,7.954850316884087,7.954850316884087,8.435558589501902,9.175892055326118,11.082228799648657,8.435558589501902,9.175892055326118,25.50628453902477,26.090005992702235,27.257448900057174,50.0,7.877542266339542,8.014242132212257,-0.13669984334720198,-0.21383957264656633,0.07713972929936436,38.72810802781174,45.045127116538275,35.4969939315082,8.146643886505382,7.800372316780333,7.454100747055285,-1.9400000000000004,-3.9290000000000034,-2366382.78,-1.355104395775486,-
2018-08-10,7.88,7.86,8.01,7.8,115206.63,7.8679999999999986,7.941241168359709,7.941241168359709,8.382648247644577,9.092286116272817,10.977237691463456,8.382648247644577,9.092286116272817,25.972799558154026,26.050937181186164,26.207212427250447,50.0,7.878244475956816,7.993589496487294,-0.11534500444082685,-0.19414065900541844,0.07879565456459159,39.07817692545162,45.92152901929724,35.64891476578718,7.955854438230199,7.797159762831551,7.638465087432904,-1.1100000000000003,-3.4970000000000034,-2251176.15,-1.2664554673815442,-
